entity,epoch,selection_score,AUC_PR_mean,AUC_ROC_mean,F1_mean,PA_F1_mean,Event_F1_mean,R_F1_mean,Aff_F_mean,VUS_ROC_mean,VUS_PR_mean,AUC_PR_std,AUC_ROC_std,F1_std,PA_F1_std,Event_F1_std,R_F1_std,Aff_F_std,VUS_ROC_std,VUS_PR_std
machine-1-1,30.0,4.25187151924556,0.5569835636566182,0.9083656498284345,0.5385045804462626,0.9367387870718902,0.6893283921822262,0.19419936809459235,0.7056438769648519,0.9396327351955679,0.6027411131538252,0.042699176770792914,0.017162167708679465,0.0446775329849135,0.04118318443937654,0.05084658077778962,0.01987040914968826,0.005950870785358447,0.012566556741202333,0.04201515209175189
machine-1-2,5.0,3.930406361172497,0.35941420668286683,0.8758942575544668,0.4703857624461044,0.9818558478692722,0.7735845272682231,0.30899077722829754,0.9218502722981088,0.9274561203189899,0.3754057418719603,0.04161725026699364,0.010543659381625905,0.026688548854304127,0.004058826747580229,0.037258304065196216,0.016199506861148797,0.011241602506866016,0.005507037745498197,0.03414610660170169
machine-1-3,5.0,2.9875570488718144,0.19421607173384922,0.7797080258755928,0.31751373643602765,0.2536002673575318,0.18665795904256993,0.10317090326325792,0.6701629543761761,0.8451211325141854,0.18083512793598314,0.010816882318680247,0.01688776498939808,0.004215641911802234,0.047988322842345756,0.046218660808268176,0.026999057930259602,7.524082917406911e-06,0.01509575346448046,0.008460108734081933
machine-1-4,10.0,3.014999099667456,0.1820084718683554,0.8049700846099167,0.28566684820354843,0.4723632021428512,0.2857142857142854,0.3735107851524222,0.6843740926556385,0.8738548532739765,0.18412474905602033,0.005165163359569699,0.02512480760980997,0.019851786883141802,0.06339423031457182,0.0,0.019991805205116783,0.01835527360925238,0.019154010801079622,0.004464724955556244
machine-1-5,25.0,4.291318389543622,0.5352015305140748,0.9275240496673306,0.5480760544361302,0.7614918054475995,0.7272727272727267,0.522785762218358,0.9267990937180921,0.9678310595773258,0.38588660163066796,0.01609223113654884,0.005936214539991824,0.017942426463953852,0.022329708520917604,0.0,0.043394962680719504,0.01926052141960794,0.0033542831262617324,0.017953507802143016
machine-1-6,5.0,5.337852204201045,0.876343691261371,0.9266039995772939,0.8652380511236384,0.9960606056209796,0.9537295065471025,0.6622704216285152,0.9176990206109802,0.9023991986127036,0.8495682430150576,0.00436735773984954,0.0024894393047279555,0.016361735707585943,0.0008968183774705935,0.019104622333448153,0.033758232166900035,0.011251131767093334,0.0035741024586995154,0.004612692313264244
machine-1-7,5.0,4.623150560604154,0.6416886835195703,0.8186496933016436,0.7165761482872591,0.9981234788562494,0.9499577114273459,0.5545967843505848,0.9558902702658809,0.8362731504707217,0.6540726147590781,0.003684091682547263,0.008734684972564223,0.00045962340092596,0.0002403154136618563,0.007285721326313377,0.0230151480866369,0.011801999320852524,0.008198696217857153,0.003551474017640006
machine-1-8,20.0,2.698199824356458,0.22544977362501306,0.5879757771274844,0.27783276082002917,0.8491455344960769,0.5629152514478939,0.30076782961390797,0.8722399757882892,0.5927136867032904,0.1419878502923515,0.007496315093741999,0.07868277670131867,0.005908015518669282,0.12229104918696193,0.036103069975950794,0.03428301527929003,0.012976592486416819,0.0751865432529397,0.011195741937018985
machine-2-1,10.0,3.0322318574835343,0.21213178313437792,0.7110352167880483,0.2595044164633298,0.9762199835459691,0.7660854449269584,0.3192081045810688,0.8846332960793417,0.7484832251996214,0.21644391981881547,0.013767362361370534,0.025901835564193162,0.02367438614466303,0.010679336409106387,0.017079078971380217,0.02858730305024089,0.026227839776147857,0.02647290827098805,0.017412958833966763
machine-2-2,5.0,3.0122701450513,0.21476339979020753,0.688021850184447,0.30522783040644863,0.9853448287766633,0.5365484940154053,0.4717628611690781,0.8863890433828681,0.6982359924069518,0.219632028880377,0.007549247479943294,0.01234068770270914,0.01647795958602151,0.003908495506980273,0.015254528249193787,0.0027771927209670694,0.014957934367077744,0.012177475633820036,0.007818972869190768
machine-2-3,15.0,4.4591034105449,0.5695478222863899,0.9344618883284778,0.5453302077663049,0.9789468016158096,0.899052093062627,0.46568394037411676,0.9466202265510727,0.9535864540419183,0.5095568115707362,0.005128584619912721,0.0025100475954744814,0.006699963345894341,0.010082068813923283,0.029823487704969846,0.021455398345901253,0.018951838182804753,0.002238873133271582,0.010930180952176237
machine-2-4,30.0,3.9771915088748013,0.4808384805773334,0.8133467406703268,0.4505254304129273,0.9912763700478602,0.9725531617824983,0.5276357980064466,0.9397230115169191,0.8181960666829047,0.4745617790143899,0.024995601222431007,0.03202068849306798,0.01318634475911409,0.0037017789540805734,0.00881275752362686,0.0033802828974085395,0.013860917837351447,0.03176011232073253,0.023736632981891895
machine-2-5,30.0,3.922503648220322,0.3956573984809288,0.8658810685066978,0.4412311925591195,0.9688842783220216,0.8697885929108166,0.5784964645488353,0.9562262322388521,0.8804968554459726,0.38301090098875146,0.0479993288006143,0.03220786214971004,0.04171782216979179,0.009535119602473127,0.05480943942506766,0.0021297970544395667,0.008012035447736618,0.032166095947803126,0.0549381294873659
machine-2-6,25.0,3.7262424295321326,0.3738116211389707,0.8082719412101864,0.4793221490593811,0.9420642457206532,0.8542149614666398,0.41986193778150477,0.8698823207089525,0.858772757695045,0.3361816397195964,0.011657740169143786,0.015610364587923371,0.014383757367467238,0.013143745964893141,0.03961275028235411,0.0266950203078379,0.025023023452786862,0.012069212114422051,0.02325241046759803
machine-2-7,30.0,5.168299339724443,0.8081214588525178,0.940750897348301,0.8219697719106815,0.9474780933622007,0.9011578644597957,0.5258619919233507,0.9414204021311288,0.9369401608448571,0.7190966486369568,0.011066303868613708,0.005131216380287804,0.00244085909657015,0.014033587148179575,0.004116604601881544,0.0070045762335586076,0.016355746449143158,0.004647048224008708,0.03156053208958224
machine-2-8,5.0,5.894416422686996,0.9686679854460762,0.990315568490712,0.9717435873195045,1.0,0.9999999999999996,0.7578647453520104,0.9999895961252918,0.9991561243936572,0.9645435609117542,0.0008352075935225194,0.00034573286487192,0.005376684971862025,0.0,0.0,0.1496704804403096,5.961412716396942e-06,4.008071513567557e-05,0.005417947848241141
machine-2-9,25.0,5.310443730472047,0.8273853954832793,0.9587092002775658,0.807638553391345,0.9577385359328114,0.7389530748794151,0.21904434284695837,0.8473654961360816,0.985253983329078,0.8840911018546974,0.02000485572044178,0.007918397319310653,0.014452984976402149,0.0006714398512861215,0.0012481850253607016,0.00031982757538438425,0.01902734722828876,0.004417036967659648,0.01803245971179868
machine-3-1,5.0,3.798091172841964,0.44717786918093505,0.862775015431315,0.4787984257519162,0.7002424704632907,0.6816726728511452,0.2669833510123138,0.7359959007208126,0.9144763976702793,0.35886756408670595,0.02171931451472769,0.020113036949004143,0.019387275926796156,0.11571976306955731,0.023643078858650926,0.0,0.07994246891352647,0.013160406559878726,0.02585048765386268
machine-3-10,20.0,5.043390222994582,0.7804707845060568,0.8853386990279162,0.821582341171301,0.9390512083072372,0.9144274798281213,0.4718197884806487,0.9361454614179407,0.8855781903372419,0.7342747465341252,0.015293903507385928,0.009243607286354627,0.03580768935957493,0.010741719612441846,0.012658049478392828,0.0626826694365322,0.00711743282133392,0.018948829663370238,0.028107169562953133
machine-3-11,5.0,3.6211692679968235,0.23342249268943496,0.8906790978336137,0.38011667557299333,1.0,0.9999999999999996,0.4007692307692308,0.9946497275572983,0.9126467344830012,0.20965453986048188,0.041298630319186284,0.015580098458502487,0.06564972777680868,0.0,0.0,0.0,0.0007789364807902026,0.017473309442144962,0.05750294298854266
machine-3-2,5.0,2.2018863557209003,0.07860731317675917,0.597872874001892,0.13899862284858272,0.9640094187717234,0.5229558516196442,0.26220398291149116,0.7429304507433224,0.5708429302791923,0.07263416467115175,0.021451677228002876,0.07608785700207105,0.039538923176481146,0.024712784351880495,0.1498016061538715,0.048156992546066764,0.022074683501002775,0.0651137748732984,0.02087337738574424
machine-3-3,25.0,3.1369341380466946,0.19645008865893399,0.7941494597941268,0.28663951473802174,0.9481465239046676,0.7393576581731446,0.4593084922521947,0.8776776373298492,0.8001791345653935,0.18183830296036957,0.02299081900879916,0.022223404639697217,0.014599614808671375,0.009984443134846938,0.04135533465299391,0.01743855579913376,0.012429799580894315,0.022012808205889207,0.02401644997579682
machine-3-4,20.0,5.077034507140674,0.7938979860368214,0.9424005778110407,0.7710537259959012,0.9744229746881625,0.8571027636136458,0.32748802092311335,0.8713189557745369,0.9538598419042295,0.7445034196181448,0.05271230277711643,0.01380577090641014,0.05831025905482586,0.013043426424816576,0.08962741057250687,0.06825336548572483,0.049957943280834,0.014502287215271938,0.07010229347382099
machine-3-5,10.0,2.8955835461041675,0.24360798241024512,0.7613141078439447,0.32036315098073453,0.7546079425663798,0.6538393374489456,0.3307823555489799,0.7755211414030911,0.6607718981619937,0.13400526530415827,0.007831467084505406,0.008981482149977146,0.004571154755003021,0.0025921807169540312,0.008558587396934937,0.0030138744881748974,0.006402498848859013,0.01212701435169433,0.005311147761528575
machine-3-6,30.0,4.418005116345142,0.504785132765627,0.9094520025614636,0.4891461407108378,0.9965548843239213,0.9646418107159753,0.5204413226810836,0.9889219235715299,0.9476440262595618,0.5780558904761225,0.030788989202729378,0.025774609990665262,0.01738702741989496,0.00040072486528332604,0.006442312538753163,0.0067700334455840045,0.004913136297086667,0.013421111153898988,0.03179068687077163
machine-3-7,20.0,2.798059700122151,0.22597103369659077,0.707478697927588,0.2930830478351446,0.9277628130460105,0.6145872597059928,0.20542555688576006,0.6839355010419338,0.7410997668467751,0.14649165277411913,0.053292265204506174,0.022179774861709998,0.05033665316553405,0.0040404775771695055,0.0863173765548434,0.0465452585706937,0.03370955498154888,0.022143867776142075,0.057948114573614165
machine-3-8,5.0,4.065716854232983,0.44739520689605344,0.8941777171657376,0.4145705369490231,0.975809256360167,0.9044781523614893,0.3763140031300103,0.9253720195848545,0.9197458707657568,0.4644555028715585,0.0769181903269214,0.025815848363015457,0.051189298787478035,0.026258181840273783,0.0762998629427855,0.004973565116212519,0.015050250916759066,0.019544209729914302,0.06934864912265319
